transaction_id,ingredient_id,change
1,1,5000
2,2,5000
3,3,5000
4,4,5000
5,5,5000
6,6,5000
7,7,5000
8,8,5000
9,9,5000
10,10,5000
11,11,5000
12,12,5000
13,13,5000
14,14,5000
15,15,5000
16,16,5000
17,17,5000
18,18,5000
19,19,5000
20,20,5000
21,21,5000
22,22,5000
23,23,5000
24,24,5000
25,25,5000
26,26,5000
27,27,5000
28,28,5000
29,29,5000
30,30,5000
31,31,5000
32,32,5000
33,33,5000
34,34,5000
35,35,5000
36,36,5000
37,37,5000
38,38,5000
39,39,5000
40,40,5000
41,41,5000
42,42,5000
43,43,5000
44,44,5000
45,45,5000
46,46,5000
47,47,5000
48,48,5000
49,49,5000
50,50,5000
51,51,5000
52,52,5000
53,53,5000
54,54,5000
55,55,5000
56,56,5000
57,57,5000
58,58,5000
59,59,5000
60,60,5000
